spec,transform,pass_count,total_tests,pass_ratio,r2,rmse,mae,jarque_bera_p,shapiro_p,dagostino_k2_p,breusch_pagan_p,breusch_godfrey_p,ljung_box_p,ramsey_reset_p,durbin_watson,residual_kurtosis,residual_skew,residual_mean_t_p,max_vif
aggregated_nonlinear_log_ols_hc3,log1p + date aggregation + nonlinear terms,10,11,0.9090909090909091,0.9905996178577575,1024.6056225508532,799.1675953434897,0.14687970647915619,0.11014797172310231,0.10934545805824124,0.6114866335098463,0.06219323480078132,0.2965631574889411,0.8725166554152861,2.1959766319879925,3.2867833958243633,0.4388230140845783,0.9999999986716148,29614.330272295552
raw_ols,none,8,11,0.7272727272727273,0.9316133613373597,7209.220992349696,5830.036530667196,0.8684578320458485,0.192515239236112,0.8867469612777225,2.0367936238233913e-07,0.5499114109122722,1.5369525565811926e-31,0.5445270852488666,2.008934312334344,2.9633410949960273,-0.0035026872751690395,0.9999999999879587,157.9241314417091
winsor_boxcox_ols_hc3,boxcox(lambda=0.7406),6,11,0.5454545454545454,0.927565765777682,7419.500121510756,6043.130772857226,0.4651558264871998,0.1983158402554974,0.4752594409820423,2.1322085865775998e-08,1.1907999478142757e-10,8.062102813016508e-17,5.650795784259023e-16,1.905315160933961,2.952432267971425,-0.03638903458357661,0.9999999999023834,157.9241314417091
trimmed_log_ols_hc3,log1p + cooks_trim,3,11,0.2727272727272727,0.9124959514264855,8154.865138751335,6633.519887202076,9.687831541450993e-08,5.3376187718508923e-08,3.389977084811341e-09,5.329855842127952e-34,1.0249103223814675e-31,8.652876950093897e-42,1.5141013536592606e-118,1.798837004024401,2.694719651004557,-0.13735932150021452,0.9999999991000748,156.20356472656192
log_ols_hc3,log1p,2,11,0.18181818181818182,0.9112433258882024,8213.026416933133,6646.0500880115915,3.15246065604341e-90,3.338373296339312e-22,6.287854849652162e-61,5.067868954750504e-69,9.271977364008044e-99,1.101380727424215e-176,2.132454305855627e-219,1.640654554514592,4.030115335054466,-0.4935242190889865,0.9999999985518597,157.9241314417091
